ID,Ontology order,Acronym,Name,Major Region,Voxel Count,Structure Hit with rAAV?,Primary Inj Site,Secondary Inj Site,Represented in Linear Model Matrix,,,,,Page rank
672,496,CP,Caudoputamen,Striatum,23893,Yes,Yes,,Yes,,,,,0.043386021
294,735,SCm,"Superior colliculus, motor related",Midbrain,6779,Yes,Yes,,Yes,,,,,0.01959722
470,707,STN,Subthalamic nucleus,Hypothalamus,204,Yes,Yes,,Yes,,,,,0.017792147
591,772,CLI,Central linear nucleus raphe,Midbrain,68,Yes,No,Yes,Yes,,,,,0.017728632
795,743,PAG,Periaqueductal gray,Midbrain,5104,Yes,Yes,,Yes,,,,,0.017235616
128,731,MRN,Midbrain reticular nucleus,Midbrain,5604,Yes,Yes,,Yes,,,,,0.017039338
56,498,ACB,Nucleus accumbens,Striatum,4904,Yes,Yes,,Yes,,,,,0.015506548
194,702,LHA,Lateral hypothalamic area,Hypothalamus,3568,Yes,Yes,,Yes,,,,,0.014688787
184,7,FRP,"Frontal pole, cerebral cortex",Isocortex,514,Yes,No,Yes,Yes,,,,,0.01344749
1031,533,GPi,"Globus pallidus, internal segment",Pallidum,324,Yes,No,Yes,Yes,,,,,0.01169266
993,22,MOs,Secondary motor area,Isocortex,10098,Yes,Yes,,Yes,,,,,0.011490989
583,480,CLA,Claustrum,Cortical Subplate,885,Yes,Yes,,Yes,,,,,0.01124813
15,609,PT,Parataenial nucleus,Thalamus,118,Yes,Yes,,Yes,,,,,0.010684433
985,16,MOp,Primary motor area,Isocortex,11760,Yes,Yes,,Yes,,,,,0.010604867
961,350,PIR,Piriform area,Olfactory Areas,12933,Yes,Yes,,Yes,,,,,0.010400599
918,428,ENTl,"Entorhinal area, lateral part",Hippocampal Formation,8409,Yes,Yes,,Yes,,,,,0.010391775
1044,577,PP,Peripeduncular nucleus,Thalamus,111,Yes,No,Yes,Yes,,,,,0.010270817
119,260,AIv,"Agranular insular area, ventral part",Isocortex,1120,Yes,No,Yes,Yes,,,,,0.01010535
639,361,COAa,"Cortical amygdalar area, anterior part",Olfactory Areas,521,Yes,No,Yes,Yes,,,,,0.008883136
886,280,RSPv,"Retrosplenial area, ventral part",Isocortex,3997,Yes,Yes,,Yes,,,,,0.008498876
342,535,SI,Substantia innominata,Pallidum,3297,Yes,Yes,,Yes,,,,,0.008433729
295,485,BLA,Basolateral amygdalar nucleus,Cortical Subplate,1381,Yes,Yes,,Yes,,,,,0.008279923
628,750,NOT,Nucleus of the optic tract,Midbrain,131,Yes,Yes,,Yes,,,,,0.008043671
39,196,ACAd,"Anterior cingulate area, dorsal part",Isocortex,2789,Yes,Yes,,Yes,,,,,0.007762748
422,575,SPFp,"Subparafascicular nucleus, parvicellular part",Thalamus,279,Yes,Yes,,Yes,,,,,0.007609224
170,583,LGd,Dorsal part of the lateral geniculate complex,Thalamus,605,Yes,Yes,,Yes,,,,,0.007602051
922,301,PERI,Perirhinal area,Isocortex,1412,Yes,Yes,,Yes,,,,,0.007543186
754,500,OT,Olfactory tubercle,Striatum,4066,Yes,Yes,,Yes,,,,,0.007263007
382,391,CA1,Field CA1,Hippocampal Formation,8275,Yes,Yes,,Yes,,,,,0.007194074
780,492,PA,Posterior amygdalar nucleus,Cortical Subplate,298,Yes,No,Yes,Yes,,,,,0.007002131
378,91,SSs,Supplemental somatosensory area,Isocortex,5729,Yes,Yes,,Yes,,,,,0.006810764
685,567,VM,Ventral medial nucleus of the thalamus,Thalamus,665,Yes,Yes,,Yes,,,,,0.006643309
629,566,VAL,Ventral anterior-lateral complex of the thalamus,Thalamus,1196,Yes,Yes,,Yes,,,,,0.006553115
136,864,IRN,Intermediate reticular nucleus,Medulla,2735,Yes,Yes,,Yes,,,,,0.006483447
491,676,MM,Medial mammillary nucleus,Hypothalamus,374,Yes,Yes,,Yes,,,,,0.006476343
1072,580,MGd,"Medial geniculate complex, dorsal part",Thalamus,206,Yes,Yes,,Yes,,,,,0.006455475
64,595,AD,Anterodorsal nucleus,Thalamus,155,Yes,No,Yes,Yes,,,,,0.006386531
409,162,VISl,Lateral visual area,Isocortex,880,Yes,Yes,,Yes,,,,,0.006187341
